hero,radiant_win,patch
Visage,TRUE,
Keeper of the Light,TRUE,
Nyx Assassin,FALSE,
Necrophos,TRUE,
Luna,FALSE,
Slark,TRUE,
Shadow Demon,FALSE,
Legion Commander,FALSE,
Lion,TRUE,
Windranger,FALSE,
Slardar,TRUE,
Warlock,TRUE,
Visage,FALSE,
Rubick,TRUE,
Clockwerk,FALSE,
Outworld Devourer,TRUE,
Luna,FALSE,
Tidehunter,FALSE,
Juggernaut,TRUE,
Night Stalker,FALSE,
Oracle,TRUE,
Axe,TRUE,
Disruptor,FALSE,
Visage,TRUE,
Undying,FALSE,
Clockwerk,TRUE,
Razor,FALSE,
Timbersaw,FALSE,
Shadow Fiend,TRUE,
Invoker,FALSE,
Rubick,TRUE,
Silencer,TRUE,
Phantom Assassin,FALSE,
Undying,TRUE,
Batrider,FALSE,
Omniknight,TRUE,
Nyx Assassin,FALSE,
Razor,FALSE,
Phantom Lancer,TRUE,
Storm Spirit,FALSE,
Ogre Magi,TRUE,
Undying,TRUE,
Ancient Apparition,FALSE,
Necrophos,TRUE,
Witch Doctor,FALSE,
Elder Titan,TRUE,
Juggernaut,FALSE,
Sand King,FALSE,
Meepo,TRUE,
Death Prophet,FALSE,
Ogre Magi,TRUE,
Rubick,TRUE,
Abaddon,FALSE,
Omniknight,TRUE,
Slardar,FALSE,
Legion Commander,TRUE,
Medusa,FALSE,
Invoker,FALSE,
Slark,TRUE,
Sven,FALSE,
Slardar,TRUE,
Lifestealer,TRUE,
Warlock,FALSE,
Weaver,TRUE,
Faceless Void,FALSE,
Keeper of the Light,TRUE,
Lich,FALSE,
Storm Spirit,FALSE,
Winter Wyvern,TRUE,
Queen of Pain,FALSE,
Underlord,TRUE,
Batrider,TRUE,
Ogre Magi,FALSE,
Oracle,TRUE,
Shadow Shaman,FALSE,
Juggernaut,TRUE,
Ursa,FALSE,
Slardar,FALSE,
Puck,TRUE,
Templar Assassin,FALSE,
Slardar,TRUE,
Lifestealer,TRUE,
Ogre Magi,FALSE,
Weaver,TRUE,
Clockwerk,FALSE,
Omniknight,TRUE,
Shadow Fiend,FALSE,
Queen of Pain,FALSE,
Bane,TRUE,
Lion,FALSE,
Slardar,TRUE,
Dark Seer,TRUE,
Visage,FALSE,
Juggernaut,TRUE,
Spirit Breaker,FALSE,
Witch Doctor,TRUE,
Dragon Knight,FALSE,
Timbersaw,FALSE,
Nyx Assassin,TRUE,
Phantom Lancer,FALSE,
Warlock,TRUE,
Sand King,TRUE,
Ogre Magi,FALSE,
Dark Seer,TRUE,
Oracle,FALSE,
Luna,TRUE,
Weaver,FALSE,
Earthshaker,FALSE,
Meepo,TRUE,
Ember Spirit,FALSE,
Batrider,TRUE,
Juggernaut,TRUE,
Undying,FALSE,
Rubick,TRUE,
Lion,FALSE,
Sand King,TRUE,
Weaver,FALSE,
Luna,FALSE,
Meepo,TRUE,
Storm Spirit,FALSE,
Shadow Demon,TRUE,
Disruptor,TRUE,
Lifestealer,FALSE,
Terrorblade,TRUE,
Clockwerk,FALSE,
Vengeful Spirit,TRUE,
Undying,FALSE,
Templar Assassin,FALSE,
Beastmaster,TRUE,
Dragon Knight,FALSE,
Batrider,TRUE,
Vengeful Spirit,TRUE,
Silencer,FALSE,
Juggernaut,TRUE,
Earth Spirit,FALSE,
Disruptor,TRUE,
Invoker,FALSE,
Templar Assassin,FALSE,
Ogre Magi,TRUE,
Legion Commander,FALSE,
Winter Wyvern,TRUE,
Sand King,TRUE,
Disruptor,FALSE,
Juggernaut,TRUE,
Ogre Magi,FALSE,
Riki,TRUE,
Weaver,FALSE,
Dark Seer,FALSE,
Tiny,TRUE,
Legion Commander,FALSE,
Visage,TRUE,
Venomancer,TRUE,
Luna,FALSE,
Tidehunter,TRUE,
Timbersaw,FALSE,
Dazzle,TRUE,
Earthshaker,FALSE,
Storm Spirit,FALSE,
Slark,TRUE,
