match_id,patch
1620187249,6.84
1763431386,6.84
1765682450,6.84
1754580929,6.84
4513749928,7.21
4629005356,7.21
3927011578,7.16
4367612759,7.20
4644181891,7.21
1764899003,6.84
1762933330,6.84
1725522978,6.84
1765419137,6.84
1743122705,6.84
4429403469,7.21
4345349403,7.20
4513426749,7.21
4362493652,7.20
1767329457,6.84
4429205021,7.21
1763300704,6.84
4512619321,7.21
4213025399,7.19
4429179161,7.21
1764604885,6.84
1763232852,6.84
4213013479,7.19
2931125543,7.01
1765395851,6.84
4212332727,7.19
1770157367,6.84
4428668188,7.21
4512531009,7.21
1763431300,6.84
4396664461,7.21
213023516,6.78
742956136,6.81
1070062254,6.82
2218151257,6.86
1084976843,6.82
709753341,6.81
1496574964,6.84
188993205,6.77
3514972648,7.06
3472379810,7.06
2241356598,6.86
707250544,6.81
3515124352,7.06
213119200,6.78
1503468366,6.84
706866479,6.81
3793336491,7.11
2215717267,6.86
2463391722,6.88
184009699,6.77
1874163808,6.85
1502040159,6.84
602613952,6.80
2197232058,6.86
203712218,6.77
706851856,6.81
1072036663,6.82
1071286113,6.82
2462768739,6.88
2766492044,6.88
735853994,6.81
3063385803,7.03
2002758774,6.85
706438510,6.81
3067017603,7.03
2346379888,6.87
2767027749,6.88
213169804,6.78
1071693142,6.82
710095191,6.81
636406980,6.81
2218006003,6.86
2236495988,6.86
706171472,6.81
3515111673,7.06
2217944989,6.86
1765226816,6.84
4381405770,7.21
4512446590,7.21
4644118808,7.21
3910847706,7.15
3658264153,7.07
4345199635,7.20
1765319644,6.84
4372442258,7.20
4512414055,7.21
1763003887,6.84
4415657197,7.21
4421527966,7.21
4643975111,7.21
4675732506,7.21
4506113548,7.21
3139652866,7.05
4657701421,7.21
4478338062,7.21
4525773800,7.21
4535217452,7.21
4657641539,7.21
4639276597,7.21
4657634904,7.21
4673702774,7.21
4445831028,7.21
4505151307,7.21
4505086690,7.21
4505001407,7.21
4638011727,7.21
4657190332,7.21
4507951672,7.21
4651414893,7.21
4636445834,7.21
3466345356,7.06
4507506350,7.21
4655127601,7.21
4472712518,7.21
4654850341,7.21
4476286963,7.21
4478045149,7.21
4507218964,7.21
4654580108,7.21
4530304777,7.21
4677066605,7.21
4506953462,7.21
4653878887,7.21
4676935218,7.21
4506871243,7.21
4506853144,7.21
4477955749,7.21
4534560333,7.21
4652886575,7.21
4656011222,7.21
4506579660,7.21
4676057696,7.21
4506503987,7.21
4653121052,7.21
4534354476,7.21
4652742731,7.21
4654050250,7.21
4445801224,7.21
4653672957,7.21
4445796772,7.21
4445789920,7.21
4506037354,7.21
4533876672,7.21
4673813456,7.21
3073205849,7.03
4477788497,7.21
4505669426,7.21
4673107537,7.21
4672829950,7.21
4506637013,7.21
4505371563,7.21
4505308787,7.21
4652518361,7.21
4508147076,7.21
4652422627,7.21
3888316319,7.15
4651396641,7.21
4508229277,7.21
4534596947,7.21
4508102513,7.21
4477422885,7.21
4658613378,7.21
4672352355,7.21
4678129535,7.21
4507745306,7.21
4653047977,7.21
4507673764,7.21
4507303119,7.21
647746541,6.81
527428181,6.80
3311122685,7.06
2431404200,6.88
1980080819,6.85
1025077838,6.82
2716457576,6.88
3009076853,7.02
2974745922,7.01
2502972140,6.88
4381906593,7.21
899789532,6.81
3698163097,7.07
1537670189,6.84
1337007803,6.83
1827578017,6.85
902227149,6.81
3057893021,7.03
647701288,6.81
3010874183,7.02
899302420,6.81
1341319372,6.83
1339843123,6.83
901503154,6.81
